album_popularity,album_id,energy,analysis_url,speechiness,duration,id,title,track_popularity,track_id,acousticness,track_href,artist_id,artist_popularity,danceability,album_release_date,tempo,number,instrumentalness,key,duration_ms,album_name,now_release_date,artist,type,liveness,uri,volume_number,mode,time_signature,loudness,valence
73,5l3zEmMrOhOzG8d8s83GOL,0.757,https://api.spotify.com/v1/audio-analysis/6NPVjNh8Jhru9xOmyQigds,0.153,231,6NPVjNh8Jhru9xOmyQigds,Happy,72,6NPVjNh8Jhru9xOmyQigds,0.286,https://api.spotify.com/v1/tracks/6NPVjNh8Jhru9xOmyQigds,2RdwBSPQiwcmiDo9kixcl8,84,0.652,2013-06-18,159.911,1.,0,1,233305,Despicable Me 2 (Original Motion Picture Soundtrack),"May 6, 2014 ",Pharrell Williams,audio_features,0.0886,spotify:track:6NPVjNh8Jhru9xOmyQigds,50,1,4,-6.819,0.962
76,5MQBzs5YlZlE28mD9yUItn,0.587,https://api.spotify.com/v1/audio-analysis/5jrdCoLpJSvHHorevXBATy,0.0528,212,5jrdCoLpJSvHHorevXBATy,Dark Horse,69,5jrdCoLpJSvHHorevXBATy,0.00403,https://api.spotify.com/v1/tracks/5jrdCoLpJSvHHorevXBATy,6jJ0s89eD6GaHleKKya26X,83,0.646,2013-01-01,131.932,2.,0,6,215672,PRISM (Deluxe),"May 6, 2014 ",Katy Perry,audio_features,0.145,spotify:track:5jrdCoLpJSvHHorevXBATy,50,1,4,-6.139,0.345
62,14JRI2yc9nKosojndoQxTv,0.772,https://api.spotify.com/v1/audio-analysis/2stPxcgjdSImK7Gizl8ZUN,0.0479,209,2stPxcgjdSImK7Gizl8ZUN,The Man,59,2stPxcgjdSImK7Gizl8ZUN,0.0346,https://api.spotify.com/v1/tracks/2stPxcgjdSImK7Gizl8ZUN,0id62QV2SZZfvBn9xpmuCl,69,0.526,2014-01-01,85.876,3.,0,11,254880,Lift Your Spirit,"May 6, 2014 ",Aloe Blacc,audio_features,0.214,spotify:track:2stPxcgjdSImK7Gizl8ZUN,50,0,4,-7.229,0.511
73,1s9tU91VJt4sU5owi29GD3,0.777,https://api.spotify.com/v1/audio-analysis/4RXpgGM7A4Hg7cFBoH5KyF,0.0473,252,4RXpgGM7A4Hg7cFBoH5KyF,Hey Brother,65,4RXpgGM7A4Hg7cFBoH5KyF,0.0279,https://api.spotify.com/v1/tracks/4RXpgGM7A4Hg7cFBoH5KyF,1vCWHaC5f2uS3yhpwWbIA6,81,0.537,2013-01-01,124.943,4.,6.12e-05,7,255093,True,"May 6, 2014 ",Avicii,audio_features,0.0838,spotify:track:4RXpgGM7A4Hg7cFBoH5KyF,50,0,4,-4.829,0.412
72,64fQ94AVziavTPdnkCS6Nj,0.715,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,0.0388,212,3gbBpTdY8lnQwqxNCcf795,Pompeii,67,3gbBpTdY8lnQwqxNCcf795,0.078,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,7EQ0qTo7fWT7DPxmxtSYEc,80,0.681,2013-01-01,127.429,5.,0,9,214148,Bad Blood,"May 6, 2014 ",Bastille,audio_features,0.275,spotify:track:3gbBpTdY8lnQwqxNCcf795,50,1,4,-6.318,0.587
76,0rmhjUgoVa17LZuS8xWQ3v,0.59,https://api.spotify.com/v1/audio-analysis/3G6hD9B2ZHOsgf4WfNu7X1,0.0904,191,3G6hD9B2ZHOsgf4WfNu7X1,Team,65,3G6hD9B2ZHOsgf4WfNu7X1,0.151,https://api.spotify.com/v1/tracks/3G6hD9B2ZHOsgf4WfNu7X1,163tK9Wjr9P9DmM0AVK7lm,77,0.696,2013-01-01,99.984,6.,0,6,193059,Pure Heroine,"May 6, 2014 ",Lorde,audio_features,0.247,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,50,1,4,-7.428,0.452
74,4PeZu0It7qVrTG40t3HM9A,0.652,https://api.spotify.com/v1/audio-analysis/6g6A7qNhTfUgOSH7ROOxTD,0.232,176,6g6A7qNhTfUgOSH7ROOxTD,Talk Dirty (feat. 2 Chainz),63,6g6A7qNhTfUgOSH7ROOxTD,0.0348,https://api.spotify.com/v1/tracks/6g6A7qNhTfUgOSH7ROOxTD,07YZf4WDAMNwqr4jfgOZ8y,82,0.76,2013-09-10,100.315,7.,0,6,177685,Talk Dirty,"May 6, 2014 ",Jason Derulo,audio_features,0.307,spotify:track:6g6A7qNhTfUgOSH7ROOxTD,50,1,4,-7.321,0.766
57,3OeA4rJ9XJNAygyNyTc2sI,0.916,https://api.spotify.com/v1/audio-analysis/1HOlb9rdNOmy9b1Fakicjo,0.226,181,1HOlb9rdNOmy9b1Fakicjo,#SELFIE,57,1HOlb9rdNOmy9b1Fakicjo,0.0134,https://api.spotify.com/v1/tracks/1HOlb9rdNOmy9b1Fakicjo,69GGBxA162lTqCwzJG5jLp,95,0.807,2014-03-03,127.973,8.,1.22e-05,0,183750,#SELFIE,"May 6, 2014 ",The Chainsmokers,audio_features,0.0787,spotify:track:1HOlb9rdNOmy9b1Fakicjo,50,1,4,-3.282,0.671
72,3zo0Hxh9rjJsdw2JAKReE3,0.799,https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs,0.156,212,67awxiNHNyjMXhVgsHuIrs,Turn Down for What,72,67awxiNHNyjMXhVgsHuIrs,0.00107,https://api.spotify.com/v1/tracks/67awxiNHNyjMXhVgsHuIrs,540vIaP2JwjQb9dm3aArA4,89,0.818,2013-12-18,100.014,9.,0.128,1,213733,Turn Down for What,"May 6, 2014 ",DJ Snake,audio_features,0.057,spotify:track:67awxiNHNyjMXhVgsHuIrs,50,0,4,-4.1,0.0953
62,4nwOwZN4sfWdvWq2e3Z6jH,0.512,https://api.spotify.com/v1/audio-analysis/45GtRWedzDAzG55MPosniU,0.123,216,45GtRWedzDAzG55MPosniU,Show Me,62,45GtRWedzDAzG55MPosniU,0.0347,https://api.spotify.com/v1/tracks/45GtRWedzDAzG55MPosniU,6KZDXtSj0SzGOV705nNeh3,81,0.491,2013-09-17,98.092,10.,0,7,219640,Show Me,"May 6, 2014 ",Kid Ink,audio_features,0.135,spotify:track:45GtRWedzDAzG55MPosniU,50,1,4,-7.274,0.582
